date,series_1,series_2,series_3,series_4,series_5
1995-01-01,95.29,97.49,96.61,108.01,103.86
1995-04-01,87.43,104.07,104.31,99.9,102.99
1995-07-01,114.66,108.37,111.56,88.85,110.33
1995-10-01,108.72,105.44,113.5,106.24,94.38
1996-01-01,94.88,97.36,94.68,100.43,90.81
1996-04-01,97.19,108.84,96.08,99.75,94.49
1996-07-01,120.53,107.12,114.4,102.23,101.54
1996-10-01,120.55,106.34,109.08,99.72,89.44
1997-01-01,104.19,99.39,91.48,101.39,102.58
1997-04-01,108.94,110.25,102.95,102.24,107.89
1997-07-01,117.34,111.34,107.9,98.02,101.6
1997-10-01,107.38,108.82,115.98,103.24,94.73
1998-01-01,105.16,103.92,95.84,120.61,95.93
1998-04-01,109.31,115.99,107.14,103.38,108.24
1998-07-01,124.11,116.6,120.24,110.59,110.65
1998-10-01,108.27,112.55,112.63,115.03,81.03
1999-01-01,106.03,108.47,104.89,121.05,93.71
1999-04-01,116.19,108.05,110.57,125.94,110.59
1999-07-01,114.94,112.55,123.14,113.56,118.1
1999-10-01,117.83,121.01,118.47,115.63,97.76
2000-01-01,108.01,107.35,107.13,123.69,99.76
2000-04-01,115.55,113.26,114.98,123.7,108.27
2000-07-01,129.2,129.06,130.61,122.61,114.24
2000-10-01,121.42,117.58,123.54,109.84,112.21
2001-01-01,118.36,106.11,112.64,133.64,102.28
2001-04-01,127.23,122.66,112.18,114.27,128.01
2001-07-01,128.99,134.08,129.7,123.86,115.31
2001-10-01,115.24,112.72,133.07,129.02,104.7
2002-01-01,139.13,114.69,117.63,137.79,110.38
2002-04-01,130.68,127.42,117.94,128.18,120.1
2002-07-01,132.12,140.35,130.47,122.53,123.03
2002-10-01,135.91,125.09,131.15,119.08,117.8
2003-01-01,126.13,119.95,116.97,130.85,105.23
2003-04-01,129.44,128.87,128.56,126.63,126.63
2003-07-01,149.07,129.31,135.02,133.46,118.35
2003-10-01,136.06,132.4,137.16,137.2,96.07
2004-01-01,126.89,130.8,130.1,135.46,106.87
2004-04-01,136.42,131.85,130.9,124.14,122.21
2004-07-01,157.38,135.93,137.57,129.58,134.3
2004-10-01,150.68,122.89,129.21,126.46,106.07
2005-01-01,148.19,124.47,129.47,127.28,102.78
2005-04-01,148.17,141.63,124.47,154.52,120.72
2005-07-01,146.22,137.51,144.3,135.8,131.26
2005-10-01,152.78,131.63,143.76,138.58,118.32
2006-01-01,150.08,132.98,133.5,148.75,118.96
2006-04-01,141.6,137.72,145.03,137.18,124.2
2006-07-01,144.01,139.18,144.09,128.9,120.82
2006-10-01,149.83,127.03,142.35,135.17,125.32
2007-01-01,127.75,127.74,135.85,157.95,119.42
2007-04-01,142.42,137.5,145.28,147.91,134.51
2007-07-01,150.0,140.44,149.94,130.15,140.15
2007-10-01,151.16,146.0,148.81,140.04,102.83
2008-01-01,144.16,131.31,135.26,154.81,102.74
2008-04-01,134.36,141.78,142.63,138.46,136.89
2008-07-01,170.18,147.33,153.4,144.19,132.45
2008-10-01,165.94,143.5,156.69,155.18,131.96
2009-01-01,159.06,141.45,143.15,151.3,120.81
2009-04-01,164.99,149.61,138.41,148.95,143.03
2009-07-01,178.39,147.47,151.6,146.23,135.32
2009-10-01,165.19,141.57,155.42,133.8,135.29
2010-01-01,158.59,136.55,140.57,161.95,135.49
2010-04-01,161.85,146.29,154.08,157.08,122.22
2010-07-01,167.77,158.71,163.43,141.3,146.6
2010-10-01,161.52,148.27,158.42,137.98,120.01
2011-01-01,162.02,141.6,146.41,159.98,142.11
2011-04-01,156.61,154.5,151.04,166.64,132.21
2011-07-01,174.2,150.62,172.28,154.47,141.48
2011-10-01,167.16,147.42,160.35,157.42,136.44
2012-01-01,155.39,142.92,147.91,164.01,124.76
2012-04-01,170.96,153.01,155.51,167.12,140.8
2012-07-01,166.04,153.17,163.27,155.51,144.66
2012-10-01,177.22,154.76,166.32,158.34,134.08
2013-01-01,167.47,148.93,150.3,163.09,128.76
2013-04-01,183.79,161.61,153.9,164.26,154.59
2013-07-01,168.38,170.68,168.26,165.99,144.39
2013-10-01,180.95,157.34,175.06,151.72,127.08
2014-01-01,168.53,157.05,153.71,187.63,131.63
2014-04-01,176.06,163.56,159.62,166.16,128.68
2014-07-01,192.02,165.04,180.82,159.95,154.57
2014-10-01,192.1,148.65,179.83,155.49,120.85
